,web-scraper-order,web-scraper-start-url,Products-href,Package Content,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
84,1751677918-91,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18,https://www.andaazfashion.com/gorgeous-silk-anarkali-suit-in-light-blue-color-with-hand-embroidered-lstv0522.html,"Zari Work, Zardosi Work, Resham Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/s/lstv0522-skyblue_1.jpg,Banglori Silk Wedding Anarkali Suit In Light Blue Color,Women,Anarkali,Traditional,Banglori Silk,Santoon/Lycra,Light Blue,"Festival Wear, Wedding Wear, Party Wear, Guest Of Wedding Wear, Sangeet",All-season,72000,72%,"Zari Work, Zardosi Work, Resham Work, Stone Work","Zari Work, Zardosi Work, Resham Work, Stone Work",Women,40-42,Silver,Heels
85,1751677926-92,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18,https://www.andaazfashion.com/zari-embroidered-velvet-teal-green-angrakha-style-trouser-suit-lstv114830.html,Zari,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/s/lstv114830-peacock-blue.jpg,Zari Embroidered Velvet Teal Green Angrakha Style Trouser Suit,Pakistani Cloth,Trouser Suit,Traditional,Velvet,Velvet,Teal Green,"Party Wear, Festival Wear",All-season,61800,40%,Zari Embroidery,Zari,Pakistani Women,"40, 35-42",Gold,Heels
86,1751677933-93,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18,https://www.andaazfashion.com/navy-blue-georgette-gown-dmv15002.html,"Party Wear,",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/i/m/img-11-front_1.jpg,Navy Blue Georgette Gown,Women,Anarkali,Contemporary,Georgette,Georgette,Navy Blue,Party Wear,All-season,67800,43%,Net,Party Wear,Women,"32,34,36,38,40,42,44,46,48,50,52,54,56",Matching,Heels
87,1751677962-97,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18,https://www.andaazfashion.com/teal-blue-color-net-embroidered-anarkali-suit-lstv04538.html,"Resham Work, Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/e/teal-blue-color-net-embroidered-anarkali-suit-1-lstv04538.jpg,Teal Blue Color Net Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Net,Santoon,Teal Blue,"Bridesmaid Wear, Festival Wear, Party Wear, Wedding Wear",All-season,66000,23%,"Resham Work, Zari Work, Stone Work","Resham Work, Zari Work, Stone Work",Women,40-42,Matching Teal Blue,Heels or Sandals
88,1751677970-98,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18,https://www.andaazfashion.com/resham-embroidered-net-plum-purple-anarkali-suit-lstv04537.html,"Resham Work, Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/e/resham-embroidered-net-plum-purple-anarkali-suit-1-lstv04537.jpg,Resham Embroidered Net Plum Purple Anarkali Suit,Women,Anarkali,Traditional,Net,Santoon,Plum Purple,"Bridesmaid Wear, Festival Wear, Party Wear, Wedding Wear",All-season,66000,23%,"Resham Work, Zari Work, Stone Work","Resham Work, Zari Work, Stone Work",Women,"40, 35-42","Silver, Gold","Heels, Sandals"
89,1751677987-99,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/resham-embroidered-net-anarkali-suit-in-dark-blue-color-lstv04536.html,"Resham Work, Zari Work, Stone Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/e/resham-embroidered-net-anarkali-suit-in-dark-blue-color-1-lstv04536.jpg,Resham Embroidered Net Anarkali Suit in Dark Blue Color,Women,Anarkali,Traditional,Net,Santoon,Dark Blue,"Bridesmaid Wear, Festival Wear, Party Wear, Wedding Wear",All-season,66000,23%,"Resham Work, Zari Work, Stone Work","Resham Work, Zari Work, Stone Work",Women,,,
90,1751678002-101,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/resham-embroidered-silk-silk-green-anarkali-suit-1913.html,"Top - Silk Bottom - SantoonDupatta - Net, ,",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/a/n/anarkali-suit-1913.jpg,Resham Embroidered Silk Green Anarkali Suit,Women,Anarkali,Traditional,Silk,Santoon,Green,"Festival Wear, Wedding Wear, Party Wear, Diwali, Eid, Sangeet, Mehndi, Gur Purab, Lohri, Bridesmaid Wear, Guest Of Wedding Wear",All-season,66000,23%,Resham Embroidery,Top - Silk Bottom - Santoon Dupatta - Net,Women,40-42,Gold,Heels
91,1751678011-102,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/silk-party-wear-gown-in-cherry-red-color-lstv03458.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/s/i/silk-party-wear-gown-in-cherry-red-color-lstv03458_1_.jpg,Silk Party Wear Gown In Cherry Red Color,Women,Anarkali,Traditional,Silk,Silk,Cherry Red,Party Wear,All-season,47700,43%,"Resham Work, Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Women,Not specified,Matching or Neutral,Heels or Sandals
92,1751678018-103,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/zari-embroidered-velvet-purple-angrakha-style-trouser-suit-lstv114830.html,Zari,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/s/lstv114830-purple.jpg,Zari Embroidered Velvet Purple Angrakha Style Trouser Suit,Pakistani Cloth,Trouser Suit,Traditional,Velvet,Velvet,Purple,"Party Wear, Festival Wear",All-season,61800,40%,Zari Embroidery,Zari,Pakistani Women,,,
93,1751678027-104,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/light-blue-georgette-anarkali-suit-with-sequins-work-lstv03971.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-blue-georgette-anarkali-suit-with-sequins-work-1-lstv03971_1.jpg,Aqua Green Georgette Anarkali Suit With Sequins Work,Women,Anarkali,Fancy,Georgette,Santoon,Aqua Green,"Guest Of Wedding Wear, Party Wear, Wedding Wear",All-season,57900,72%,Sequins Work,"Top (Included Lining), Bottom and Scarf",Women,40-42,Gold,Heels
94,1751678035-105,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/zari-embroidered-velvet-green-angrakha-style-trouser-suit-lstv114830.html,Zari,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/s/lstv114830-green.jpg,Zari Embroidered Velvet Green Angrakha Style Trouser Suit,Women,Trouser Suit,Traditional,Velvet,Velvet,Green,"Party Wear, Festival Wear",All-season,61800,40%,Zari Embroidery,Zari,Pakistani Women,40-42,"Green, Gold","Heels, Sandals"
95,1751678044-106,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/teal-green-silk-embroidered-party-wear-gown-lstv03459.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/e/teal-green-silk-embroidered-party-wear-gown-1-lstv03459.jpg,Teal Green Silk Embroidered Party Wear Gown,Women,Anarkali,Heavy Work,Silk,Silk,Teal Green,Party Wear,All-season,47700,43%,"Resham Work, Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Gold,Heels
96,1751678053-107,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/dark-green-georgette-trouser-suit-with-dupatta-dmv14019-green.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/r/trouser-suit-green-1-dmv14019_1.jpg,Dark Green Georgette Trouser Suit With Dupatta,Pakistani Cloth,Trouser Suit,Traditional,Georgette,Santoon,Dark Green,"Festival Wear, Party Wear, New Year",All-season,61800,50%,"Resham Work, Zari Work, Thread Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Pakistani Women,Select,Matching Green or Gold,Heels or Sandals
97,1751678058-108,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/fluorescent-blue-silk-embroidered-anarkalii-suit-1931.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/1/9/1931_1.jpg,Light Blue Silk Embroidered Wedding Anarkali Suit,Women,Anarkali,Heavy Work,Silk,Net,Light Blue,"Festival Wear, Wedding Wear, Party Wear",All-season,55800,43%,"Stone Work, Chikankari Work, Hand Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,"40, 35-45",Silver,Heels
98,1751678073-110,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/black-silk-anarkali-churidar-suit-1859black.html,"Top (Included Lining), Bottom",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-anarkali-suit1-1859.jpg,Black Silk Anarkali Churidar Suit,Women,Anarkali,Traditional,Silk,Santoon,Black,"Party Wear, Festival Wear, Sangeet, Mahendi",All-season,61800,52%,Gota Patti and Resham Thread Work,"Top (Included Lining), Bottom",Women,"40, 42, 44",Black,Heels
99,1751678079-111,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/grey-silk-anarkali-churidar-suit-1859grey.html,"Top (Included Lining), Bottom",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/g/r/grey-anarkali-suit1-1859.jpg,Steel Grey Silk Anarkali Churidar Suit,Women,Anarkali,Traditional,Silk,Santoon,Steel Grey,"Party Wear, Festival Wear, Sangeet, Mahendi",All-season,61800,52%,"Gota Patti, Reshem Thread Work","Top (Included Lining), Bottom",Women,"40, 35-45","Silver, Gold","Heels, Sandals"
100,1751678091-112,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/luxurious-silk-yellow-anarkali-suit-lstv01847.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/y/e/yellow-anarkali-suit-1-lstv01847.jpg,Silk Anarkali Suit In Yellow Color With Resham Work,Women,Anarkali,Traditional,Silk,Santoon,Yellow,"Festival Wear, Party Wear, Sangeet, Lohri",All-season,43800,43%,"Resham Work, Zari Work, Hand Work","Top (Included Lining), Bottom and Scarf",Women,"40, 35-45",Gold,Heels
101,1751678097-113,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/blue-georgette-trouser-suit-with-dupatta-dmv14196-blue.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/r/trouser-suit-blue-dmv14196-1.jpg,Blue Georgette Ankle Length Suit with Chiffon Dupatta,Women,Trouser Suit,Traditional,Georgette,Santoon,Blue,"Festival Wear, Party Wear, New Year",All-season,54000,51%,"Resham Work, Zari Work, Thread Work","Top (Included Lining), Bottom and Scarf",Pakistani Women,"40, 35-45","Blue, Silver","Heels, Sandals"
102,1751678104-114,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/purple-taffeta-embroidered-anarkali-suit-1891-purple.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/p/u/purple-anarkali-suit1-1891.jpg,Purple Taffeta Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Taffeta,Taffeta,Purple,"Festival Wear, Party Wear, New Year, Eid",All-season,54000,24%,"Resham Work, Zari Work, Crystal Work, Beads Work, Hand Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Silver,Heels
103,1751678111-115,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/attractive-firozi-blue-silk-anarkali-suit-with-resham-work-1910.html,"Top - Silk Bottom - SantoonDupatta - Net, ,",https://assets2.andaazfashion.com/media/catalog/product/d/e/design-no-1910-trouser-suit-collection-front_1_2_1.jpg,Light Blue Silk Anarkali Suit With Resham Work,Women,Anarkali,Light Work,Silk,Santoon,Light Blue,"Festival Wear, Bridal Wear, Wedding Wear, Diwali, Eid, Sangeet, Gur Purab",All-season,54000,43%,Resham Work,Top - Silk Bottom - SantoonDupatta - Net,Women,40-42,Silver,Heels
104,1751678116-116,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/green-georgette-trouser-suit-with-dupatta-dmv14196-green.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/r/trouser-suit-green-dmv14196-1.jpg,Green Color Georgette Trouser Suit With Dupatta,Pakistani Cloth,Trouser Suit,Traditional,Georgette,Santoon,Green,"Casual Wear, Festival Wear, Party Wear, New Year",All-season,54000,51%,"Resham Work, Zari Work, Hand Work","Top (Included Lining), Bottom and Scarf",Pakistani Women,"40, 35-45","Green, Gold, Silver","Heels, Sandals"
105,1751678122-117,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/peach-georgette-anarkali-suit-with-dupatta-dmv13968.html,Santoon,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/e/design-no-dmv13968-designer-anarkali-gown-collection-front.jpg,Peach Georgette Anarkali Suit With Dupatta,Women,Anarkali,Traditional,Georgette,Georgette,Peach,"Party, Wedding, Festive",All-season,75900,23%,Peach Embroidery Work,Santoon,Women,"40, 42, 44","Gold, Peach","Heels, Sandals"
106,1751678129-118,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/light-pink-taffeta-silk-printed-indian-anarkali-suit-lstv114558.html,Foil Print,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-pink-taffeta-silk-printed-indian-anarkali-suit-lstv114558-1.jpg,Light Pink Taffeta Silk Printed Indian Anarkali Suit,Women,Anarkali,Fancy,Taffeta Silk,Crepe,Light Pink,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear",All-season,39900,72%,Foil Print,Foil Print,Indian Women,,,
107,1751678135-119,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/foil-printed-georgette-pastel-pink-anarkali-suit-lstv115669.html,Foil Print,https://assets2.andaazfashion.com/media/catalog/product/f/o/foil-printed-georgette-pastel-pink-anarkali-suit-lstv115669-1.jpg,Foil Printed Georgette Pastel Pink Anarkali Suit,Women,Anarkali,Traditional,Georgette,Lycra,Pastel Pink,"Party Wear, Festival Wear",All-season,39900,72%,Foil Print,Foil Print,Women,40-42,Gold,Heels
108,1751678142-120,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/embroidered-velvet-anarkali-suit-in-deep-ed-colour-lstv03981.html,"Zari Work, Dabka Work, Stone Work, Embroidery Work",https://assets2.andaazfashion.com/media/catalog/product/l/s/lstv03981-red.jpg,Embroidered Velvet Anarkali Suit In Deep Red Colour,Women,Anarkali,Heavy Work,Velvet,Velvet,Deep Red,"Festival Wear, Guest Of Wedding Wear, Party Wear, Wedding Wear",All-season,51900,22%,"Zari Work, Dabka Work, Stone Work, Embroidery Work","Zari Work, Dabka Work, Stone Work, Embroidery Work",Women,Not specified,Matching color,Traditional footwear
109,1751678147-121,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/muslin-silk-wedding-wear-anarkali-suit-in-peacock-blue-color-lstv05942.html,"Resham Work, Zari Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/muslin-silk-wedding-wear-anarkali-suit-in-peacock-blue-color-lstv05942-1_1.jpg,Taffeta Silk Wedding Wear Anarkali Suit In Peacock Blue Color,Women,Anarkali,Traditional,Taffeta Silk,Santoon,Peacock Blue,"Festival Wear, Guest Of Wedding Wear, Party Wear, Wedding Wear",All-season,57900,43%,"Resham Work, Zari Work","Resham Work, Zari Work",Women,,,
110,1751678153-122,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/sequins-embroidered-georgette-light-pink-anarkali-suit-lstv112194.html,"Sequins, Thread Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/e/sequins-embroidered-georgette-light-pink-anarkali-suit-lstv112194-1.jpg,Sequins Embroidered Georgette Light Pink Anarkali Suit,Women,Anarkali,Heavy Work,Georgette,Lycra,Light Pink,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear",All-season,39900,23%,"Sequins, Thread Work","Sequins, Thread Work",Women,40-42,Silver,Heels
111,1751678160-123,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/violet-purple-soft-silk-anarkali-with-churidar-anarkali-suit-lstv110516.html,Printed,https://assets2.andaazfashion.com/media/catalog/product/v/i/violet-purple-soft-silk-anarkali-with-churidar-anarkali-suit-lstv110516-1.jpg,Purple Poly Silk Anarkali Suit With Churidar,Women,Anarkali,Traditional,Poly Silk,Santoon,Purple,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear",All-season,39900,43%,Printed,Churidar,Women,One size fits most,Gold,Heels
112,1751678167-124,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/black-net-and-silk-anarkali-churidar-suit-with-dupatta-dmv15067.html,Black,https://assets2.andaazfashion.com/media/catalog/product/d/e/design-no-dmv15067-long-anarkali-suit-collection-front.jpg,Gorgeous Black Net And Silk Anarkali Churidar Suit With Dupatta,Women,Anarkali,Traditional,Net,Silk,Black,"Special Events, Parties, Festivals",All-season,66600,26%,"Embroidery, Zari work","Anarkali Suit, Churidar, Dupatta",Indian Women,32-58,"Black, Gold, Silver","Heels, Sandals"
113,1751678174-125,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/navy-blue-viscose-crepe-trouser-suit-1643.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-viscose-crepe-trouser-suit-1643-1_1_1_1.jpg,Navy Blue Georgette Trouser Suit,Pakistani Cloth,Trouser Suit,Traditional,Georgette,Chiffon,Navy Blue,"Festival Wear, Party Wear, Diwali, Eid, Navratri Dresses, Gur Purab",All-season,43800,43%,"Resham Work, Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Pakistani Women,"40, 32-38","Navy Blue, Silver, White","Heels, Sandals"
114,1751678181-126,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/black-florida-silk-high-low-style-thread-and-sequins-embroidered-anarkali-suit-lstv116004.html,"Sequins, Thread Work",https://assets2.andaazfashion.com/media/catalog/product/c/-/c-199_1_trs.jpg,Black Florida Silk High Low Style Embroidered Anarkali Suit for Wedding & Party,Women,Anarkali,Fancy,Florida Silk,Florida Silk,Black,"Party Wear, Festival Wear",All-season,51900,72%,"Sequins, Thread Work","Sequins, Thread Work",Women,,,
115,1751678187-127,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/brick-red-soft-silk-printed-anarkali-suit-lstv110517.html,Printed,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/r/brick-red-soft-silk-printed-anarkali-suit-lstv110517-1.jpg,Brick Red Poly Silk Printed Anarkali Suit,Women,Anarkali,Traditional,Poly Silk,Santoon,Brick Red,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear",All-season,39900,43%,Printed,Printed,Women,,,
116,1751678192-128,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/maroon-georgette-anarkali-churidar-suit-1707-b.html,Georgette,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/1/7/1707-maroon.jpg,Maroon Georgette Anarkali Churidar Suit,Women,Anarkali,Traditional,Georgette,Santoon,Maroon,Maroon,All-season,57600,24%,Santoon,Georgette,Women,,,
117,1751678214-130,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/light-peach-dupion-embroidered-anarkali-suit-1971.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-peach-dupion-embroidered-anarkali-suit-1971_1.jpg,Light Peach Dupion Embroidered Anarkali Suit for Wedding & Party,Women,Anarkali,Heavy Work,Dupion,Taffeta Silk,Light Peach,"Festival Wear, Party Wear, Diwali, Eid",All-season,54000,72%,"Resham Work, Zari Work, Hand Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Gold,Heels
118,1751678222-131,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/resham-embroidered-dupion-white-anarkali-suit-1968.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/e/resham-embroidered-dupion-white-anarkali-suit-1-1968_1_1.jpg,Taffeta Silk Wedding Anarkali Churidar Suit in White Color,Women,Anarkali,Traditional,Taffeta Silk,Santoon/Lycra,White,"Festival Wear, Party Wear, Diwali, Eid",All-season,43800,72%,"Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Muslim Women,"40, 32-36","White, Gold","Heels, Sandals"
119,1751678241-133,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/brown-taffeta-embroidered-anarkali-suit-1891-brown.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/r/brown-anarkali-suit1-1891.jpg,Brown Taffeta Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Taffeta,Taffeta,Brown,"Festival Wear, Party Wear, New Year, Eid",All-season,54000,24%,"Resham Work, Zari Work, Crystal Work, Beads Work, Hand Work","Top (Included Lining), Bottom and Scarf",Women,40-42,"Brown, Gold","Heels, Sandals"
120,1751678248-134,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/lovely-dupion-anarkali-gown-in-peach-color-1978.html,"Top (Included Lining), and Bottom",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/o/lovely-dupion-anarkali-gown-in-peach-color-1-1978_1_1_1.jpg,Wedding Wear Silk Anarkali Gown In Dusty Pink Color,Women,Anarkali,Traditional,Silk,Lycra,Dusty Pink,"Festival Wear, Party Wear, New Year, Bridesmaid Wear, Guest Of Wedding Wear",All-season,61800,40%,Mukaish Work,"Top (Included Lining), and Bottom",Women,Not specified,Matching color,Traditional sandals or heels
121,1751678255-135,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/dazzling-net-anarkali-suit-in-powder-blue-color-with-resham-embroidered-lstv02446.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/1/-/1-lstv02446.jpg,Anarkali Suit In Powder Blue Color With Resham Embroidered,Women,Anarkali,Heavy Work,Net,Santoon,Powder Blue,"Festival Wear, Wedding Wear, Party Wear, Bridesmaid Wear, Sangeet",All-season,100200,21%,"Resham Work, Zari Work, Hand Work, Embroidered Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Silver,Heels
122,1751678264-136,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/shlipa-shetty-green-long-georgette-anarkali-churidar-suit-with-dupatta-dmv14798.html,Green,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/h/ch-design-no-dmv14798-designer-silpa-shetty-bollywood-anarkali-suit-collection-front_1_.jpg,Shlipa Shetty Green Long Silk Anarkali Churidar Suit With Dupatta,Women,Anarkali,Traditional,Silk,Silk,Green,"Special Events, Parties, Festivals",All-season,76500,26%,Embroidery,"Suit, Dupatta",Indian Women,"34, 36, 38, 40","Gold, Silver","Heels, Sandals"
123,1751678272-137,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/blue-silk-embroidered-anarkali-suit-lstv110881.html,"Stone Work, Thread Work",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/blue-silk-embroidered-anarkali-suit-lstv110881-1.jpg,Blue Silk Embroidered Anarkali Suit,Women,Anarkali,Heavy Work,Silk,Santoon,Blue,"Wedding Wear, Party Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,72000,23%,"Stone Work, Thread Work","Stone Work, Thread Work",Women,40-42,Silver,Heels
124,1751678278-138,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 17,https://www.andaazfashion.com/cream-muslin-anarkali-suit-with-palazzo-pant-lstv04971.html,"Top (Included Lining), Bottom and Scarf",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-muslin-anarkali-suit-with-palazzo-pant-lstv04971.jpg,Cream Muslin Anarkali Suit With Palazzo Pant,Women,Anarkali,Traditional,Muslin,Muslin,Cream,"Festival Wear, Party Wear, Wedding Wear",All-season,80400,23%,"Resham Work, Zari Work, Stone Work","Top (Included Lining), Bottom and Scarf",Women,40-42,Gold,Heels
