,web-scraper-order,web-scraper-start-url,Products-href,Style,Festival ,Image URL-src,product_name,main_category,product_type,style,fabric_top,fabric_bottom,color,occasion,season,price_pkr,discount,work_details,package_contents,worn_by,fit,shoe_color,shoe_style
40,1751700191-43,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/woven-jacquard-light-pink-men-kurta-pajama-mkpa03203.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-jacquard-light-pink-men-kurta-pajama-mkpa03203-1.jpg,Straight Cut Men Kurta Pajama in Jacquard Light Pink for Sangeet,Pakistani Cloth,Salwar Kameez,Traditional,Jacquard,Art Silk,Light Pink,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,"Woven, Printed",Top (Kurta) & Bottom (Pajama),Pakistani Men,"42, 44, 38-42",Brown,Traditional Sandals
41,1751700195-44,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/woven-jacquard-pistachio-green-men-kurta-pajama-mkpa03239.html,Indo-Western,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-jacquard-pistachio-green-men-kurta-pajama-mkpa03239-1.jpg,Woven Jacquard Pistachio Green Wedding Men's Kurta Pajama,Men,Kurta Pajama,Indo-Western,Jacquard,Silk,Pistachio Green,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,21%,Woven,Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Brown,Traditional
42,1751700198-45,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/pistachio-green-banarasi-silk-printed-mens-kurta-pajama-mkpa0211.html,Straight Cut,Green,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/i/pistachio-green-banarasi-silk-printed-mens-kurta-pajama-mkpa0211-1.jpg,Pistachio Green Banarasi Silk Printed Men's Kurta Dhoti,Men,Kurta Pajama,Straight Cut,Silk,Silk,Pistachio Green,Wedding,All-season,39900,24%,Printed,,Men,,,
43,1751700201-46,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/cream-beige-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0207.html,Straight Cut,Beige,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-beige-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0207-1.jpg,Cream Beige Banarasi Silk Straight Cut Men's Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,Cream Beige,Wedding,All-season,39900,24%,Printed,,Men,,,
44,1751700205-47,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/grey-dupion-silk-straight-cut-men-kurta-with-dhoti-mkpa0553.html,Straight Cut,"Diwali, Eid, Gur Purab, Navratri,",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/g/r/grey-dupion-silk-straight-cut-men-kurta-with-dhoti-mkpa0553-1.jpg,Grey Dupion Silk Straight Cut Men Kurta With Dhoti,Men,Kurta Pajama,Straight Cut,Dupion Silk,Dupion Silk,Pure Grey,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,43800,72%,"Resham Work, Thread Work, Zari",Top (Kurta) & Bottom (Pajama),Men,"42, 44, 46","Black, Brown",Traditional Sandals
45,1751700209-48,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/dark-purple-dupion-silk-men-kurta-with-dhoti-mkpa0556.html,Straight Cut,"Diwali, Eid, Gur Purab, Lohri, Navratri,",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-purple-dupion-silk-men-kurta-with-dhoti-mkpa0556-1.jpg,Dark Purple Dupion Silk Men Kurta With Dhoti,Pakistani Cloth,Salwar Kameez,Traditional,Dupion Silk,Dupion Silk,Dark Purple,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,43800,72%,"Resham Work, Thread Work, Zari",Top (Kurta) & Bottom (Pajama),Pakistani Men,"44, 36-42",Black,Traditional
46,1751700212-49,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/printed-banarasi-silk-oat-beige-mens-kurta-pajama-mkpa0210.html,Straight Cut,Beige,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-banarasi-silk-oat-beige-mens-kurta-pajama-mkpa0210-1.jpg,Printed Banarasi Silk Oat Beige Men's Kurta Pajama,Men,Kurta Pajama,Straight Cut,Silk,Silk,Oat Beige,Wedding,All-season,39900,24%,Printed,,Men,,,
47,1751700216-50,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/brown-banarasi-silk-printed-mens-kurta-pajama-mkpa0213.html,Straight Cut,Brown,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/r/brown-banarasi-silk-printed-mens-kurta-pajama-mkpa0213-1.jpg,Brown Banarasi Silk Printed Men's Kurta Pajama,Men,Salwar Kameez,Traditional,Silk,Silk,Brown,Wedding,All-season,39900,24%,Printed,,Men,,,
48,1751700219-51,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/navy-blue-cotton-mens-kurta-with-dhoti-pants-mkpa01742.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/n/a/navy-blue-cotton-mens-kurta-with-dhoti-pants-mkpa01742-1.jpg,Navy Blue Cotton Men's Kurta With Dhoti Pants,Men,Kurta Pajama,Straight Cut,Cotton,Art Silk,Navy Blue,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Men,"42, 38-40",Brown,Traditional
49,1751700223-52,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/white-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0209.html,Straight Cut,White,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/h/white-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0209-1.jpg,White Banarasi Silk Straight Cut Men's Kurta Dhoti,Men,Trouser Suit,Traditional,Silk,Silk,White,Wedding,All-season,39900,24%,Printed,,Men,,,
50,1751700231-53,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/navy-blue-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0214.html,Straight Cut,Blue,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/n/a/navy-blue-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0214-1.jpg,Navy Blue Banarasi Silk Straight Cut Men's Kurta Pajama,Men,Kurta Pajama,Straight Cut,Silk,Silk,Navy Blue,Wedding,All-season,39900,24%,Printed,,Men,,,
51,1751700237-54,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/multi-color-banarasi-silk-printed-mens-kurta-pajama-mkpa0212.html,Straight Cut,Multi Color,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/multi-color-banarasi-silk-printed-mens-kurta-pajama-mkpa0212-1.jpg,Multi-Color Banarasi Silk Printed Men's Kurta Pajama,Men,Kurta Pajama,Straight Cut,Silk,Silk,Multi Color,Wedding,All-season,39900,24%,Printed,,Men,,,
52,1751700242-55,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/trombone-yellow-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0208.html,Straight Cut,Yellow,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/r/trombone-yellow-banarasi-silk-straight-cut-mens-kurta-pajama-mkpa0208-1.jpg,Trombone Yellow Banarasi Silk Straight Cut Men's Kurta Pajama,Men,Salwar Kameez,Traditional,Silk,Silk,Yellow,Wedding,All-season,39900,24%,Printed,,Men,,,
53,1751700250-56,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plain-dupion-silk-olive-brown-men-dhoti-kurta-mkpa01176.html,Straight Cut,Brown,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-dupion-silk-olive-brown-men-dhoti-kurta-mkpa01176-1.jpg,Plain Dupion Silk Olive Brown Men Dhoti Kurta,Men,Trouser Suit,Traditional,Silk,Silk,Olive Brown,Wedding,All-season,27600,28%,Thread Work,,Men,,,
54,1751700262-57,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/salamander-green-cotton-mens-kurta-with-dhoti-pants-mkpa01746.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/i/m/image_2022_12_21t09_59_58_073.jpg,Salamander Green Cotton Kurta with Dhoti Pants for Men,Pakistani Cloth,Salwar Kameez,Traditional,Cotton,Art Silk,Salamander Green,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Pakistani Men,"40, 32-36",Brown,Traditional Sandals
55,1751700270-58,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/wine-maroon-cotton-mens-kurta-with-dhoti-pants-mkpa01743.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/i/wine-maroon-cotton-mens-kurta-with-dhoti-pants-mkpa01743-1.jpg,Wine Maroon Cotton Men's Kurta With Dhoti Pants,Pakistani Cloth,Salwar Kameez,Traditional,Cotton,Art Silk,Wine Maroon,"Party Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Pakistani Men,"40, 32-36",Brown,Traditional Sandals
56,1751700277-59,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/mauve-brown-mauve-cotton-mens-kurta-with-dhoti-pants-mkpa01749.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/a/mauve-brown-mauve-cotton-mens-kurta-with-dhoti-pants-mkpa01749-1.jpg,Mauve Brown Mauve Cotton Men's Kurta With Dhoti Pants,Men's Ethnic Wear,Kurta Pajama,Straight Cut,Cotton,Art Silk,Mauve Brown Mauve,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Men,"42, 38-40",Brown,Traditional
57,1751700288-60,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/pastel-dark-blue-cotton-mens-kurta-with-dhoti-pants-mkpa01751.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/a/pastel-dark-blue-cotton-mens-kurta-with-dhoti-pants-mkpa01751-1.jpg,Pastel Dark Blue Cotton Men's Kurta With Dhoti Pants,Men,Salwar Kameez,Traditional,Cotton,Art Silk,Pastel Dark Blue,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Brown,Traditional Sandals
58,1751700338-61,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plum-purple-cotton-mens-kurta-with-dhoti-pants-mkpa01748.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plum-purple-cotton-mens-kurta-with-dhoti-pants-mkpa01748-1.jpg,Plum Purple Cotton Men's Kurta With Dhoti Pants,Pakistani Cloth,Salwar Kameez,Traditional,Cotton,Art Silk,Plum Purple,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Pakistani Men,"40, 32-36",Brown,Traditional Sandals
59,1751700344-62,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/salamander-green-cotton-mens-kurta-with-dhoti-pants-mkpa01745.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/a/salamander-green-cotton-mens-kurta-with-dhoti-pants-mkpa01745-1.jpg,Salamander Green Cotton Men's Kurta With Dhoti Pants,Pakistani Cloth,Salwar Kameez,Traditional,Cotton,Art Silk,Salamander Green,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Pakistani Men,"42, 38-40",Brown,Traditional Sandals
60,1751700352-63,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/plum-purple-cotton-mens-kurta-with-dhoti-pants-mkpa01747.html,Straight Cut,"Diwali,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plum-purple-cotton-mens-kurta-with-dhoti-pants-mkpa01747-1.jpg,Plum Purple Cotton Kurta with Dhoti Pants Set,Pakistani Cloth,Salwar Kameez,Traditional,Cotton Silk,Art Silk,Plum Purple,"Party Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Pakistani Men,"42, 38-40",Brown,Traditional Sandals
61,1751700359-64,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/olive-brown-cotton-mens-kurta-with-dhoti-pants-mkpa01750.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/l/olive-brown-cotton-mens-kurta-with-dhoti-pants-mkpa01750-1.jpg,Olive Brown Cotton Men's Kurta With Dhoti Pants,Men,Salwar Kameez,Traditional,Cotton,Art Silk,Olive Brown,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,39900,43%,"Lace, Mirror Work, Printed",Top (Kurta) & Bottom (Pajama),Men,"42, 44, 38-42",Brown,Traditional
62,1751700374-65,https://www.andaazfashion.com/men/dhoti-kurta?p=8,https://www.andaazfashion.com/rust-orange-dupion-silk-men-kurta-with-dhoti-mkpa0557.html,Straight Cut,"Diwali, Eid, Gur Purab, Lohri, Navratri,",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/r/u/rust-orange-dupion-silk-men-kurta-with-dhoti-mkpa0557-1.jpg,Rust Orange Dupion Silk Men Kurta With Dhoti,Men,Kurta Pajama,Straight Cut,Dupion Silk,Dupion Silk,Rust Orange,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,43800,72%,"Resham Work, Thread Work, Zari",Top (Kurta) & Bottom (Pajama),Men,"44, 36-42",Brown,Traditional
63,1751700383-66,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/dupion-silk-pale-pink-men-kurta-with-dhoti-mkpa0554.html,Straight Cut,"Diwali, Eid, Gur Purab, Navratri,",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/u/dupion-silk-pale-pink-men-kurta-with-dhoti-mkpa0554-1.jpg,Dupion Silk Pale Pink Men Kurta With Dhoti,Men,Kurta Pajama,Straight Cut,Dupion Silk,Dupion Silk,Pale Pink,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,43800,72%,"Resham Work, Thread Work, Zari",Top (Kurta) & Bottom (Pajama),Men,"44, 46, 38-42",Brown,Traditional
64,1751700388-67,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/cherry-red-cotton-silk-embroidered-mens-kurta-with-dhoti-mkpa07557.html,Straight Cut,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/h/cherry-red-cotton-silk-embroidered-mens-kurta-with-dhoti-mkpa07557-1.jpg,Cherry Red Cotton Silk Embroidered Men's Kurta With Dhoti,Men,Kurta Pajama,Straight Cut,Cotton Silk,Cotton Silk,Cherry Red,"Wedding Wear, Guest of Wedding Wear, Sangeet",All-season,45900,17%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"42, 38-40",Black,Traditional
65,1751700392-68,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/light-blue-dupion-silk-plain-mens-dhoti-kurta-mkpa01178.html,Straight Cut,Blue,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-blue-dupion-silk-plain-mens-dhoti-kurta-mkpa01178-1.jpg,Light Blue Dupion Silk Plain Men's Dhoti Kurta,Indian Cloth,Trouser Suit,Traditional,Silk,Silk,Light Blue,Wedding,All-season,27600,22%,Thread Work,,Indian Men,,,
66,1751700397-69,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/dark-beige-dupion-silk-plain-men-kurta-dhoti-mkpa01302.html,Straight Cut,Beige,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-beige-dupion-silk-plain-men-kurta-dhoti-mkpa01302-1.jpg,Black Art Silk Traditional Men Kurta Pajama with Lace Work,Men,Kurta Pajama,Traditional,Art Silk,Art Silk,Black,Wedding,All-season,29700,43%,Lace Work,,Men,,,
67,1751700403-70,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/black-dupion-silk-plain-men-kurta-dhoti-mkpa01297.html,Straight Cut,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-dupion-silk-plain-men-kurta-dhoti-mkpa01297-1.jpg,Art Silk Navy Blue Lace Embroidered Men Kurta Pajama for Wedding,Men,Kurta Pajama,Straight Cut,Silk,Silk,Navy Blue,Wedding,All-season,29700,23%,Lace Embroidery,,Men,,,
68,1751700407-71,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/black-cotton-silk-embroidered-mens-kurta-with-dhoti-mkpa07558.html,Straight Cut,"Diwali,Eid",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-cotton-silk-embroidered-mens-kurta-with-dhoti-mkpa07558-1.jpg,Black Cotton Silk Embroidered Men's Kurta With Dhoti,Men,Kurta Pajama,Straight Cut,Cotton Silk,Cotton Silk,Pure Black,Sangeet,All-season,45900,25%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Black,Traditional
69,1751700411-72,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/navy-blue-cotton-silk-embroidered-mens-kurta-with-dhoti-mkpa07560.html,Straight Cut,"Diwali,Eid,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/n/a/navy-blue-cotton-silk-embroidered-mens-kurta-with-dhoti-mkpa07560-1.jpg,Navy Blue Cotton Silk Embroidered Men's Kurta With Dhoti,Pakistani Cloth,Salwar Kameez,Traditional,Cotton Silk,Cotton Silk,Navy Blue,"Wedding Wear, Guest of Wedding Wear, Sangeet",All-season,45900,43%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Pakistani Men,"42, 44, 36-40",Black,Traditional Sandals
70,1751700415-73,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/plain-dupion-silk-navy-blue-men-kurta-dhoti-mkpa01304.html,Straight Cut,Blue,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-dupion-silk-navy-blue-men-kurta-dhoti-mkpa01304-1.jpg,Blue Cotton Straight Cut Men Kurta Pajama with Resham embroidery,Men,Kurta Pajama,Traditional,Silk,Silk,Blue,Wedding,All-season,29700,43%,Resham Work,,Men,,,
71,1751700421-74,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/plain-dupion-silk-black-men-kurta-dhoti-mkpa01305.html,Straight Cut,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-dupion-silk-black-men-kurta-dhoti-mkpa01305-1.jpg,Traditional Men Kurta Pajama in Cotton Turmeric Yellow for Party,Pakistani Cloth,Salwar Kameez,Traditional,Cotton,Cotton,Turmeric Yellow,Party,All-season,29700,43%,Thread Work,Top (Kurta) & Bottom (Pajama),Pakistani Men,40-42,Brown,Traditional Sandals
72,1751700426-75,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/dark-black-dupion-silk-plain-mens-dhoti-kurta-mkpa01187.html,Straight Cut,Black,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-black-dupion-silk-plain-mens-dhoti-kurta-mkpa01187-1.jpg,Dark Black Dupion Silk Plain Men's Dhoti Kurta,Men,Trouser Suit,Traditional,Silk,Silk,Dark Black,Wedding,All-season,27600,43%,Zari Work,,Men,,,
73,1751700431-76,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/mustard-yellow-jacquard-embroidered-men-kurta-pajama-mkpa03245.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/u/mustard-yellow-jacquard-embroidered-men-kurta-pajama-mkpa03245-1.jpg,Mustard Yellow Jacquard Embroidered Men Kurta Pajama,Men,Kurta Pajama,Straight Cut,Jacquard,Silk,Mustard Yellow,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,Embroidered,Top (Kurta) & Bottom (Pajama),Men,42-46,Brown,Traditional
74,1751700436-77,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/salmon-peach-silk-embroidered-men-kurta-pajama-mkpa03206.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/a/salmon-peach-silk-embroidered-men-kurta-pajama-mkpa03206-1.jpg,Salmon Peach Silk Embroidered Men Kurta Pajama,Men,Kurta Pajama,Traditional,Silk,Art Silk,Salmon Peach,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,18%,"Resham Work, Thread Work",Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Brown,Traditional
75,1751700440-78,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/bluish-grey-jacquard-men-kurta-pajama-mkpa03243.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/bluish-grey-jacquard-men-kurta-pajama-mkpa03243-1.jpg,Bluish Grey Jacquard Men Kurta Pajama,Men,Kurta Pajama,Straight Cut,Jacquard,Silk,Bluish Grey,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,43%,"Woven, Printed",Top (Kurta) & Bottom (Pajama),Men,Regular Fit,Black,Traditional
76,1751700444-79,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/grey-beige-jacquard-men-kurta-pajama-mkpa03233.html,Indo-Western,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/g/r/grey-beige-jacquard-men-kurta-pajama-mkpa03233-1.jpg,Grey Beige Jacquard Men Kurta Pajama,Men,Kurta Pajama,Indo-Western,Jacquard,Silk,Grey Beige,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,51600,43%,Woven,Top (Kurta) & Bottom (Pajama),Men,Unknown,Matching,Traditional
77,1751700449-80,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/light-pink-jacquard-men-kurta-pajama-mkpa03246.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-pink-jacquard-men-kurta-pajama-mkpa03246-1.jpg,Light Pink Jacquard Men Kurta Pajama,Men,Salwar Kameez,Traditional,Jacquard,Silk,Light Pink,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,22%,Woven,Top (Kurta) & Bottom (Pajama),Men,"40, 32-36",Brown,Traditional
78,1751700452-81,https://www.andaazfashion.com/men/dhoti-kurta?p=7,https://www.andaazfashion.com/light-blue-jacquard-straight-cut-men-kurta-pajama-mkpa03241.html,Straight Cut,"Diwali,Lohri,Navratri",https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-blue-jacquard-straight-cut-men-kurta-pajama-mkpa03241-1.jpg,Light Blue Jacquard Straight Cut Men Kurta Pajama,Pakistani Cloth,Salwar Kameez,Traditional,Jacquard,Silk,Light Blue,"Wedding Wear, Guest of Wedding Wear, Festival Wear, Sangeet",All-season,45900,22%,Woven,Top (Kurta) & Bottom (Pajama),Pakistani Men,Not specified,Matching or Contrasting colors,Traditional Mojari or Khussa
