,product_name,main_category,Category Style,categorize_outfit,occasion,season,Gender,fit_type,fabric,work_details,color_category,shoe_color,shoe_style,price_pkr,discount,Image URL-src,Products-href,web-scraper-start-url
528,Embroidered Navy Blue Velvet Men's Jodhpuri Coat Pant,Men's Ethnic Wear,Traditional,Jodhpuri Suit,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Cutdana Work, Resham Work, Sequins Work, Thread Work",Blues,Black,Formal Shoes,89700,43.0,https://assets2.andaazfashion.com/media/catalog/product/e/m/embroidered-navy-blue-velvet-mens-jodhpuri-sherwani-mstv04059-1.jpg,https://www.andaazfashion.co.uk/embroidered-navy-blue-velvet-mens-jodhpuri-sherwani-mstv04059.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=26
529,Dark Black Resham Thread Embroidered Men's Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Resham Work, Sequins, Thread Work",Black & Greys,Black,Traditional,71700,14.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-black-resham-thread-embroidered-mens-sherwani-mstv02119-1.jpg,https://www.andaazfashion.co.uk/dark-black-resham-thread-embroidered-mens-sherwani-mstv02119.html,https://www.andaazfashion.co.uk/men/sherwani?p=20
530,Dark Purple Silk Men's Jacket Style Plain Kurta Pajama,Men's Ethnic Wear,Fancy,Jacket Style Outfit,Wedding/Formal,Winter,Male,Range,Silk,"Dori Work, Sequins Work",Purples & Mauves,Black,Traditional,58200,22.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-purple-silk-mens-jacket-style-plain-kurta-pajama-mkpa07696-1.jpg,https://www.andaazfashion.co.uk/dark-purple-silk-mens-jacket-style-plain-kurta-pajama-mkpa07696.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=11
531,White Silk Embroidered Men's Jacket Style Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,"Resham Work, Sequins Work, Thread Work",White & Off‑Whites,Black,Traditional,86700,28.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/h/white-silk-embroidered-mens-jacket-style-sherwani-mstv02874-1.jpg,https://www.andaazfashion.co.uk/white-silk-embroidered-mens-jacket-style-sherwani-mstv02874.html,https://www.andaazfashion.co.uk/men/weddingwear?p=100
532,Dark Blue Cotton Men's Kurta With Churidar for Wedding & Party,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Summer,Male,Single Size,Cotton,"Resham Work, Thread Work",White & Off‑Whites,Black,Traditional,23700,43.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-blue-cotton-kurta-with-churidar-for-men-mkpv0174-1.jpg,https://www.andaazfashion.co.uk/dark-blue-cotton-kurta-with-churidar-for-men-mkpv0174.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=17
533,Light Grey Art Silk Embroidered Men Kurta Pajama,Men's Ethnic Wear,Fancy,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Silk,"Resham thread, Sequins embroidery",Black & Greys,Matching,Traditional,44700,43.0,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-grey-art-silk-embroidered-men-kurta-pajama-mkpa02318-1.jpg,https://www.andaazfashion.co.uk/light-grey-art-silk-embroidered-men-kurta-pajama-mkpa02318.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=26
534,Woven Jacquard Navy Blue Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,Woven,Blues,Black,Traditional,65700,72.0,https://assets2.andaazfashion.com/media/catalog/product/w/o/woven-jacquard-navy-blue-men-sherwani-mstv0748-1.jpg,https://www.andaazfashion.co.uk/woven-jacquard-navy-blue-men-sherwani-mstv0748.html,https://www.andaazfashion.co.uk/men/sherwani?p=12
535,Plain Cream Silk Jacket Sherwani with Resham and Bead Work,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Resham thread, sequins, beads work",White & Off‑Whites,Cream,Traditional,157200,10.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-embroidered-silk-wedding-wear-mens-jacket-style-sherwani-mstv03806-1.jpg,https://www.andaazfashion.co.uk/cream-embroidered-silk-wedding-wear-mens-jacket-style-sherwani-mstv03806.html,https://www.andaazfashion.co.uk/men/weddingwear?p=69
536,Cotton Silk Light Beige Printed Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Party/Festive,Summer,Male,Single Size,Cotton,"Printed, Foil Print",White & Off‑Whites,Brown,Traditional,20700,15.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/o/cotton-silk-light-beige-printed-straight-cut-mens-kurta-pajama-mkpa08112-1.jpg,https://www.andaazfashion.co.uk/cotton-silk-light-beige-printed-straight-cut-mens-kurta-pajama-mkpa08112.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=80
537,Silk Men's Light Pear Green Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Spring,Male,Range,Silk,Embroidered,Greens,Green,Traditional,53700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-mens-light-pear-green-kurta-pajama-with-embroidered-jacket-mkpa08028-1.jpg,https://www.andaazfashion.co.uk/silk-mens-light-pear-green-kurta-pajama-with-embroidered-jacket-mkpa08028.html,https://www.andaazfashion.co.uk/men/weddingwear?p=73
538,Mens Ethnic Maroon Kurta with Gold Churidar for Wedding & Party,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Winter,Male,Mixed Range,Silk,Gold Churidar,Reds,Black,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/e/mens-ethnic-maroon-kurta-for-eid-mkpv0712.jpg,https://www.andaazfashion.co.uk/mens-ethnic-maroon-kurta-for-eid-mkpv0712.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=9
539,Weaved Light Beige Art Silk Assymetrical Men's Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Summer,Male,Range,Silk,"Weaved Thread Work, Zari Work",White & Off‑Whites,Brown,Traditional,37200,25.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/e/weaved-light-beige-art-silk-assymetrical-mens-sherwani-mstv03421-1.jpg,https://www.andaazfashion.co.uk/weaved-light-beige-art-silk-assymetrical-mens-sherwani-mstv03421.html,https://www.andaazfashion.co.uk/men/sherwani?p=45
540,Designer Jacquard Silk Black Sherwani Set,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Mixed Range,Silk,Cutdana Work,Black & Greys,Black,Traditional,86700,26.0,https://assets2.andaazfashion.com/media/catalog/product/d/e/designer-jacquard-silk-black-sherwani-set-mstv0097.jpg,https://www.andaazfashion.co.uk/designer-jacquard-silk-black-sherwani-set-mstv0097.html,https://www.andaazfashion.co.uk/men/sherwani?p=16
542,Silk Plain Men's Powder Blue Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Spring,Male,Range,Silk,Plain Work,Blues,Black,Traditional,61800,13.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-plain-mens-powder-blue-kurta-pajama-with-embroidered-jacket-mkpa07987-1.jpg,https://www.andaazfashion.co.uk/silk-plain-mens-powder-blue-kurta-pajama-with-embroidered-jacket-mkpa07987.html,https://www.andaazfashion.co.uk/men/weddingwear?p=69
543,Thread Work Wine Maroon Men Kurta Pajama in Dupion Silk for Wedding,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Winter,Male,Single Size,Silk,"Resham Work, Stone Work, Thread Work",Reds,Matching,Traditional,41700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/m/embroidered-dupion-silk-wine-men-kurta-pajama-mkpa02756-1.jpg,https://www.andaazfashion.co.uk/embroidered-dupion-silk-wine-men-kurta-pajama-mkpa02756.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=25
545,Dark Maroon Art Silk Men Sherwani With Churidar,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Multi Size,Silk,Plain,Reds,Black,Traditional,34200,43.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-maroon-art-silk-men-sherwani-with-churidar-mstv01186-1.jpg,https://www.andaazfashion.co.uk/dark-maroon-art-silk-men-sherwani-with-churidar-mstv01186.html,https://www.andaazfashion.co.uk/men/sherwani?p=17
546,Woven Jacquard Light Beige Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Synthetic,Woven,White & Off‑Whites,Brown,Traditional,32700,23.0,https://assets2.andaazfashion.com/media/catalog/product/w/o/woven-jacquard-light-beige-men-kurta-pajama-mkpa03247-1.jpg,https://www.andaazfashion.co.uk/woven-jacquard-light-beige-men-kurta-pajama-mkpa03247.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=55
547,Silk Bubble Gum Pink Men's Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Summer,Male,Range,Silk,Embroidered,Pinks,Matching,Traditional,67800,23.0,https://assets2.andaazfashion.com/media/catalog/product/s/i/silk-bubble-gum-pink-mens-kurta-pajama-with-embroidered-jacket-mkpa08008-1.jpg,https://www.andaazfashion.co.uk/silk-bubble-gum-pink-mens-kurta-pajama-with-embroidered-jacket-mkpa08008.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=56
548,Silk Men’s Kurta Pajama in Salmon Peach with Embroidery,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Range,Silk,Resham thread and sequins work,Oranges,Brown,Traditional,47700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/a/salmon-peach-silk-mens-kurta-pajama-with-embroidered-jacket-mkpa05588-1.jpg,https://www.andaazfashion.co.uk/salmon-peach-silk-mens-kurta-pajama-with-embroidered-jacket-mkpa05588.html,https://www.andaazfashion.co.uk/men/weddingwear?p=98
550,Printed Cotton Sky Blue Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Cotton,Printed,Blues,White,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/r/printed-cotton-sky-blue-men-kurta-pajama-mkpa02464-1.jpg,https://www.andaazfashion.co.uk/printed-cotton-sky-blue-men-kurta-pajama-mkpa02464.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=60
551,Black Silk Plain Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Casual,Summer,Male,Range,Silk,Plain Work,Black & Greys,Black,Traditional,13200,10.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-silk-plain-straight-cut-mens-kurta-pajama-mkpa07247-1.jpg,https://www.andaazfashion.co.uk/black-silk-plain-straight-cut-mens-kurta-pajama-mkpa07247.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=84
552,Thread Embroidered Navy Blue Silk Men's Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Winter,Male,Range,Silk,Thread Work,Blues,Black,Traditional,24900,35.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/h/thread-embroidered-navy-blue-silk-mens-kurta-pajama-mkpa06869-1.jpg,https://www.andaazfashion.co.uk/thread-embroidered-navy-blue-silk-mens-kurta-pajama-mkpa06869.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=12
554,Light Blue Men Printed Dhoti Kurta,Men's Ethnic Wear,Contemporary,Kurta with Dhoti,Wedding/Formal,Spring,Male,Mixed Range,Silk,Printed,Multi / Mixed & Others,Blue,Traditional,31200,72.0,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-blue-men-printed-dhoti-kurta-mkpa01136-1.jpg,https://www.andaazfashion.co.uk/light-blue-men-printed-dhoti-kurta-mkpa01136.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=53
555,Pistachio Green Embroidered Banarasi Silk Churidar Men's Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Cutdana Work, Resham Work, Stone Work, Thread Work",Greens,Brown,Traditional,124200,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/i/pistachio-green-embroidered-banarasi-silk-churidar-mens-sherwani-mstv01268-1.jpg,https://www.andaazfashion.co.uk/pistachio-green-embroidered-banarasi-silk-churidar-mens-sherwani-mstv01268.html,https://www.andaazfashion.co.uk/men/sherwani?p=50
556,Silk Plain Men's Black Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Winter,Male,Range,Silk,Embroidered,Black & Greys,Black,Traditional,53700,28.0,https://assets2.andaazfashion.com/media/catalog/product/s/i/silk-plain-mens-black-kurta-pajama-with-embroidered-jacket-mkpa07995-1.jpg,https://www.andaazfashion.co.uk/silk-plain-mens-black-kurta-pajama-with-embroidered-jacket-mkpa07995.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=86
557,Straight Cut Men Kurta Pajama in Dupion Silk Navy Blue for Sangeet,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Winter,Male,Single Size,Silk,Plain,Blues,Matching,Traditional,38700,72.0,https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-dupion-silk-jacket-style-men-kurta-with-churidar-mkpa0628-1.jpg,https://www.andaazfashion.co.uk/navy-blue-dupion-silk-jacket-style-men-kurta-with-churidar-mkpa0628.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=29
559,White Dupion Silk Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Multi Size,Silk,White,White & Off‑Whites,Black,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/w/h/white-dupion-silk-straight-cut-mens-kurta-pajama-mkpa0164-1.jpg,https://www.andaazfashion.co.uk/white-dupion-silk-straight-cut-mens-kurta-pajama-mkpa0164.html,https://www.andaazfashion.co.uk/men/weddingwear?p=38
561,Purple Jacquard Straight Cut Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Synthetic,Woven,Purples & Mauves,Black,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/u/purple-jacquard-straight-cut-men-kurta-pajama-mkpa01057-1.jpg,https://www.andaazfashion.co.uk/purple-jacquard-straight-cut-men-kurta-pajama-mkpa01057.html,https://www.andaazfashion.co.uk/men/sherwani?p=57
562,Silk Embroidered Navy Blue Straight Cut Men's Coat Pant,Men's Ethnic Wear,Traditional,Jodhpuri Suit,Wedding/Formal,Winter,Male,Range,Silk,"Resham Work, Sequins Work, Thread Work",Blues,Black,Formal Shoes,71700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-embroidered-navy-blue-straight-cut-mens-sherwani-mstv03549-1.jpg,https://www.andaazfashion.co.uk/silk-embroidered-navy-blue-straight-cut-mens-sherwani-mstv03549.html,https://www.andaazfashion.co.uk/men/coat-pant?p=2
565,Pale Pink Art Silk Men Plain Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Party/Festive,Summer,Male,Multi Size,Silk,Thread Work,Pinks,Matching,Traditional,26700,27.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/a/pale-pink-art-silk-men-plain-kurta-pajama-mkpa01161-1.jpg,https://www.andaazfashion.co.uk/pale-pink-art-silk-men-plain-kurta-pajama-mkpa01161.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=51
566,Bluish Grey Men's Silk Kurta Pajama With Embroidered Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Winter,Male,Range,Silk,Embroidered,Black & Greys,Black,Traditional,50700,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/bluish-grey-mens-silk-kurta-pajama-with-embroidered-jacket-mkpa08019-1.jpg,https://www.andaazfashion.co.uk/bluish-grey-mens-silk-kurta-pajama-with-embroidered-jacket-mkpa08019.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=65
567,Teal Green Dupion Silk Plain Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Spring,Male,Single Size,Silk,Plain,Greens,Black,Traditional,26700,26.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/e/teal-green-dupion-silk-plain-mens-kurta-pajama-mkpa01329-1.jpg,https://www.andaazfashion.co.uk/teal-green-dupion-silk-plain-mens-kurta-pajama-mkpa01329.html,https://www.andaazfashion.co.uk/men/weddingwear?p=42
568,Black Silk Resham Embroidered Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Winter,Male,Single Size,Silk,"Dori Work, Resham Work, Sequins Work, Thread Work",Black & Greys,Black,Traditional,20700,43.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-silk-resham-embroidered-mens-kurta-pajama-mkpa08180-1.jpg,https://www.andaazfashion.co.uk/black-silk-resham-embroidered-mens-kurta-pajama-mkpa08180.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=54
570,Black Indo Western Sherwani For Men,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Mixed Range,Silk,Plain,Black & Greys,Black,Traditional,64200,26.0,https://assets2.andaazfashion.com/media/catalog/product/i/m/image_2021_11_09t06_16_15_357z.jpg,https://www.andaazfashion.co.uk/black-indo-western-sherwani-for-men-mstv00162.html,https://www.andaazfashion.co.uk/men/sherwani?p=16
571,Black Weaved Thread Silk Jodhpuri Style Men's Coat Pant,Men's Ethnic Wear,Traditional,Jodhpuri Suit,Wedding/Formal,Winter,Male,Range,Silk,"Weaved Thread Work, Foil Print",Black & Greys,Black,Formal Shoes,53700,17.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-weaved-thread-silk-jodhpuri-style-mens-sherwani-mstv03612-1.jpg,https://www.andaazfashion.co.uk/black-weaved-thread-silk-jodhpuri-style-mens-sherwani-mstv03612.html,https://www.andaazfashion.co.uk/men/sherwani?p=15
573,Cream Beige Art Silk Plain Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Mixed Range,Silk,Plain,White & Off‑Whites,Brown,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/c/r/cream-beige-art-silk-plain-mens-kurta-pajama-mkpa01572-1.jpg,https://www.andaazfashion.co.uk/cream-beige-art-silk-plain-mens-kurta-pajama-mkpa01572.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=123
574,Tweed Plain Men's Maroon Coat Pant,Men's Ethnic Wear,Contemporary,Jodhpuri Suit,Wedding/Formal,Winter,Male,Mixed Range,Silk,Plain,Reds,Black,Traditional,59700,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/c/mcp37.jpg,https://www.andaazfashion.co.uk/tweed-plain-mens-maroon-coat-pant-mcp37.html,https://www.andaazfashion.co.uk/men/coat-pant?p=1
575,Steel Grey Georgette Straight Cut Men Kurta Churidar,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Resham Work, Thread Work",Black & Greys,Black,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/t/steel-grey-georgette-straight-cut-men-kurta-churidar-mkpa04194-1.jpg,https://www.andaazfashion.co.uk/steel-grey-georgette-straight-cut-men-kurta-churidar-mkpa04194.html,https://www.andaazfashion.co.uk/men/weddingwear?p=21
576,Dupion Silk Light Grey Printed Men's Jacket,Men's Ethnic Wear,Fancy,Nehru Jacket,Wedding/Formal,Summer,Male,Single Size,Silk,Printed,Black & Greys,Black,Formal Shoes,20700,43.0,https://assets2.andaazfashion.com/media/catalog/product/d/u/dupion-silk-light-grey-printed-mens-jacket-mwcv0255-1.jpg,https://www.andaazfashion.co.uk/dupion-silk-light-grey-printed-mens-jacket-mwcv0255.html,https://www.andaazfashion.co.uk/men/weddingwear?p=117
577,Light Mauve Silk Jodhpuri Style Plain Men's Coat Pant,Men's Ethnic Wear,Contemporary,Jodhpuri Suit,Wedding/Formal,Summer,Male,Single Size,Silk,Plain Work,Purples & Mauves,Black,Formal Shoes,89700,13.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-mauve-silk-jodhpuri-style-plain-mens-sherwani-mstv04016-1.jpg,https://www.andaazfashion.co.uk/light-mauve-silk-jodhpuri-style-plain-mens-sherwani-mstv04016.html,https://www.andaazfashion.co.uk/men/sherwani?p=29
578,Light Pink Silk Straight Cut Men Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,Plain,Pinks,Black,Traditional,40200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-pink-silk-straight-cut-men-sherwani-mstv01975-1.jpg,https://www.andaazfashion.co.uk/light-pink-silk-straight-cut-men-sherwani-mstv01975.html,https://www.andaazfashion.co.uk/men/weddingwear?p=75
579,Off White Dupion Silk Father & Son Men Jacket Style Kurta Churidar,Men's Ethnic Wear,Contemporary,Jacket Style Outfit,Wedding/Formal,Summer,Male,Multi Size,Silk,Plain,White & Off‑Whites,White,Traditional,37200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/f/off-white-dupion-silk-father-son-men-jacket-style-kurta-churidar-mkpa02177-1.jpg,https://www.andaazfashion.co.uk/off-white-dupion-silk-father-son-men-jacket-style-kurta-churidar-mkpa02177.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=18
580,Woven Silk Dark Grey Men Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,Woven,Black & Greys,Black,Traditional,68700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/o/woven-silk-dark-grey-men-sherwani-mstv0718-1_1.jpg,https://www.andaazfashion.co.uk/woven-silk-dark-grey-men-sherwani-mstv0718.html,https://www.andaazfashion.co.uk/men/weddingwear?p=22
581,Light Beige Silk Embroidered Men's Churidar Kurta,Men's Ethnic Wear,Contemporary,Churidar Suit,Wedding/Formal,Summer,Male,Mixed Range,Silk,"Lace, Resham Work, Thread Work, Zari",White & Off‑Whites,Beige-Cream,Traditional,43200,43.0,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-beige-silk-embroidered-mens-churidar-kurta-mkpa02637-1.jpg,https://www.andaazfashion.co.uk/light-beige-silk-embroidered-mens-churidar-kurta-mkpa02637.html,https://www.andaazfashion.co.uk/men/weddingwear?p=38
582,Dupion Silk Royal Blue Men Kurta With Dhoti,Men's Ethnic Wear,Contemporary,Kurta with Dhoti,Party/Festive,Spring,Male,Mixed Range,Silk,Plain,Blues,Black,Traditional,20700,72.0,https://assets2.andaazfashion.com/media/catalog/product/d/u/dupion-silk-royal-blue-men-kurta-with-dhoti-mkpa0572-1.jpg,https://www.andaazfashion.co.uk/dupion-silk-royal-blue-men-kurta-with-dhoti-mkpa0572.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=60
583,Resham Embroiderd Silk Dusty Green Jacket Style Men's Waist Coat,Men's Ethnic Wear,Fancy,Waistcoat,Wedding/Formal,Winter,Male,Single Size,Silk,"Resham Work, Sequins Work, Thread Work",Greens,Black,Formal Shoes,19200,24.0,https://assets2.andaazfashion.com/media/catalog/product/r/e/resham-embroiderd-silk-dusty-green-jacket-style-mens-waist-coat-mwcv0237-1.jpg,https://www.andaazfashion.co.uk/resham-embroiderd-silk-dusty-green-jacket-style-mens-waist-coat-mwcv0237.html,https://www.andaazfashion.co.uk/men/weddingwear?p=117
585,Wedding Wear Lace Work Dark Beige Men Kurta Pajama in Dupion Silk,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Mixed Range,Silk,"Digital Print, Lace Work",White & Off‑Whites,White,Traditional,20700,43.0,https://assets2.andaazfashion.com/media/catalog/product/w/h/white-cotton-printed-men-kurta-pajama-mkpa01258-1.jpg,https://www.andaazfashion.co.uk/white-cotton-printed-men-kurta-pajama-mkpa01258.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=17
587,Navy Blue Dupion Silk Churidar Men Kurta Pajama,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Winter,Male,Mixed Range,Silk,"Resham Work, Thread Work",Blues,Black,Traditional,41700,43.0,https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-dupion-silk-churidar-men-kurta-pajama-mkpa02747-1.jpg,https://www.andaazfashion.co.uk/navy-blue-dupion-silk-churidar-men-kurta-pajama-mkpa02747.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=24
588,Rust Orange Poly Silk Churidar Men Kurta,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Autumn,Male,Single Size,Silk,"Lace Work, Resham Work, Thread Work",Oranges,Brown,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/r/u/rust-orange-poly-silk-churidar-men-kurta-mkpa0397-1.jpg,https://www.andaazfashion.co.uk/rust-orange-poly-silk-churidar-men-kurta-mkpa0397.html,https://www.andaazfashion.co.uk/men/sherwani?p=58
589,Festival Wear Cream Beige Churidar Cotton Silk Men Kurta Pajama,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Summer,Male,Single Size,Cotton,Printed,White & Off‑Whites,Brown,Traditional,22200,43.0,https://assets2.andaazfashion.com/media/catalog/product/f/e/festival-wear-cream-beige-churidar-cotton-silk-men-kurta-pajama-mkpa04691-1.jpg,https://www.andaazfashion.co.uk/festival-wear-cream-beige-churidar-cotton-silk-men-kurta-pajama-mkpa04691.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=65
